"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
983.0,1161.0,959.0,424.0,1053.0,715.0,638.0,423.0,928.0,562.0,1041.0,75.7,54.04,85.7
926.0,1094.0,891.0,487.0,1177.0,808.0,666.0,485.0,1078.0,624.0,1040.0,91.9,66.48,88.42
833.0,999.0,823.0,420.0,1122.0,818.0,664.0,428.0,1056.0,570.0,930.0,74.9,71.63,68.74
821.0,962.0,866.0,420.0,955.0,779.0,523.0,410.0,1017.0,555.0,935.0,59.9,69.39,83.78
840.0,1014.0,850.0,440.0,1121.0,853.0,647.0,440.0,1095.0,634.0,960.0,79.9,69.34,94.04
922.0,963.0,855.0,488.0,1099.0,818.0,645.0,464.0,1009.0,601.0,927.0,73.0,63.37,79.12
740.0,825.0,700.0,402.0,1000.0,778.0,524.0,410.0,1017.0,629.0,813.0,57.6,67.0,82.0
686.0,932.0,812.0,424.0,984.0,752.0,584.0,412.0,1008.0,545.0,901.0,60.7,71.78,77.33
805.0,1000.0,797.0,435.0,940.0,650.0,515.0,426.0,917.0,548.0,910.0,56.2,63.0,66.0
804.0,1034.0,832.0,454.0,1100.0,806.0,657.0,471.0,1098.0,600.0,970.0,78.4,62.77,71.96
745.0,907.0,752.0,410.0,986.0,735.0,534.0,376.0,929.0,552.0,834.0,59.3,66.0,77.0
683.0,882.0,735.0,407.0,930.0,769.0,515.0,408.0,1023.0,564.0,862.0,55.0,59.86,79.23
628.0,819.0,696.0,398.0,958.0,718.0,501.0,384.0,953.0,527.0,795.0,47.4,63.03,78.7
1021.0,1105.0,917.0,464.0,1170.0,760.0,667.0,424.0,1026.0,555.0,1045.0,86.8,73.67,74.17
673.0,840.0,675.0,379.0,976.0,780.0,551.0,391.0,987.0,583.0,781.0,49.2,64.0,75.0
572.0,746.0,650.0,410.0,828.0,698.0,459.0,372.0,896.0,542.0,747.0,37.9,52.0,63.0
736.0,832.0,748.0,454.0,1016.0,784.0,572.0,394.0,1038.0,585.0,802.0,57.4,53.0,88.49
899.0,1032.0,863.0,432.0,1033.0,848.0,579.0,431.0,1120.0,621.0,984.0,75.4,65.2,78.36
1171.0,1394.0,1119.0,448.0,1454.0,768.0,750.0,559.0,1063.0,570.0,1199.0,115.6,69.77,63.05
1220.0,1367.0,1170.0,489.0,1184.0,839.0,670.0,474.0,1071.0,618.0,1163.0,113.9,69.16,80.97
671.0,844.0,711.0,426.0,1034.0,708.0,578.0,389.0,950.0,540.0,825.0,55.3,54.93,67.75
739.0,912.0,768.0,450.0,1102.0,822.0,624.0,406.0,1072.0,619.0,878.0,67.8,61.18,89.82
720.0,841.0,749.0,405.0,930.0,862.0,523.0,423.0,1062.0,591.0,854.0,54.1,68.87,78.36
690.0,865.0,724.0,416.0,956.0,810.0,526.0,389.0,1044.0,608.0,860.0,56.8,66.14,69.65
820.0,1033.0,841.0,429.0,1125.0,762.0,690.0,479.0,1022.0,584.0,991.0,76.4,55.55,73.33
775.0,905.0,766.0,410.0,990.0,786.0,590.0,425.0,1018.0,623.0,880.0,63.3,60.0,68.0
824.0,975.0,825.0,443.0,1010.0,764.0,560.0,457.0,1051.0,590.0,957.0,66.0,70.0,78.0
674.0,833.0,705.0,447.0,929.0,750.0,538.0,416.0,979.0,609.0,824.0,52.9,62.0,74.0
774.0,917.0,745.0,421.0,968.0,764.0,560.0,410.0,962.0,595.0,879.0,61.1,68.0,76.0
744.0,935.0,779.0,427.0,1003.0,806.0,572.0,432.0,1020.0,612.0,881.0,63.8,66.0,79.0
686.0,881.0,753.0,424.0,999.0,770.0,579.0,398.0,1015.0,555.0,850.0,56.0,57.05,65.61
675.0,790.0,690.0,436.0,897.0,714.0,500.0,402.0,940.0,572.0,788.0,46.4,62.0,75.0
808.0,1003.0,822.0,427.0,935.0,712.0,537.0,417.0,936.0,541.0,957.0,62.2,65.08,71.05
905.0,1048.0,886.0,430.0,1087.0,846.0,605.0,430.0,1093.0,622.0,971.0,81.0,65.49,87.55
776.0,975.0,784.0,430.0,1033.0,754.0,596.0,423.0,997.0,560.0,959.0,65.7,57.64,74.44
759.0,965.0,781.0,481.0,1001.0,764.0,570.0,432.0,1003.0,583.0,914.0,61.7,58.0,72.0
774.0,924.0,797.0,409.0,1002.0,806.0,575.0,437.0,1076.0,590.0,898.0,63.4,66.83,68.91
745.0,859.0,704.0,410.0,969.0,793.0,558.0,387.0,975.0,590.0,830.0,53.3,60.0,64.0
789.0,882.0,814.0,418.0,980.0,781.0,552.0,420.0,1028.0,578.0,872.0,59.4,61.05,81.62
780.0,888.0,764.0,465.0,989.0,773.0,571.0,424.0,1017.0,577.0,891.0,59.7,71.72,76.74
716.0,892.0,760.0,387.0,1008.0,836.0,576.0,427.0,1078.0,576.0,868.0,61.8,55.42,79.51
787.0,957.0,845.0,420.0,1116.0,843.0,690.0,427.0,1111.0,631.0,961.0,79.3,72.19,86.93
893.0,1099.0,881.0,483.0,1049.0,799.0,630.0,433.0,1065.0,598.0,1012.0,80.8,68.1,79.37
775.0,864.0,725.0,442.0,962.0,768.0,559.0,398.0,964.0,576.0,831.0,61.4,56.0,72.0
805.0,956.0,795.0,449.0,1035.0,765.0,575.0,420.0,1040.0,600.0,909.0,67.2,62.0,66.0
837.0,920.0,815.0,366.0,997.0,688.0,595.0,413.0,928.0,510.0,905.0,59.9,58.96,72.17
717.0,839.0,691.0,392.0,905.0,748.0,502.0,377.0,956.0,573.0,810.0,49.5,60.0,76.0
929.0,1027.0,885.0,445.0,1136.0,826.0,647.0,481.0,1068.0,615.0,1007.0,89.2,74.25,77.39
734.0,916.0,784.0,451.0,1042.0,874.0,595.0,422.0,1137.0,621.0,895.0,67.9,72.69,88.39
807.0,963.0,807.0,411.0,1020.0,731.0,559.0,393.0,1025.0,546.0,920.0,65.0,67.93,82.29
884.0,1045.0,880.0,422.0,1098.0,827.0,688.0,456.0,1055.0,595.0,991.0,81.6,70.01,82.28
726.0,950.0,790.0,447.0,942.0,784.0,552.0,412.0,1021.0,561.0,919.0,61.7,69.95,77.34
892.0,1016.0,895.0,397.0,1071.0,833.0,616.0,450.0,1083.0,610.0,973.0,74.0,72.28,89.35
776.0,999.0,865.0,439.0,1136.0,833.0,652.0,475.0,1090.0,622.0,994.0,78.0,70.84,86.13
752.0,930.0,775.0,445.0,960.0,755.0,565.0,411.0,1026.0,593.0,932.0,64.3,57.0,72.0
764.0,983.0,833.0,431.0,1056.0,822.0,619.0,403.0,1062.0,581.0,924.0,71.4,68.56,83.74
731.0,877.0,726.0,436.0,1017.0,736.0,576.0,388.0,977.0,572.0,848.0,60.5,56.0,76.0
784.0,977.0,799.0,467.0,1034.0,849.0,598.0,437.0,1095.0,625.0,915.0,71.4,71.3,84.5
698.0,854.0,723.0,418.0,1004.0,743.0,587.0,418.0,987.0,578.0,835.0,58.6,62.0,72.0
1048.0,1235.0,1035.0,482.0,1208.0,680.0,630.0,494.0,941.0,582.0,1137.0,92.4,62.0,66.0
776.0,924.0,750.0,435.0,1009.0,821.0,560.0,427.0,1055.0,625.0,888.0,66.1,75.8,88.37
748.0,867.0,743.0,380.0,965.0,774.0,556.0,388.0,995.0,590.0,823.0,53.7,61.82,84.03
1073.0,1135.0,1007.0,473.0,1110.0,792.0,636.0,474.0,1031.0,588.0,1046.0,90.1,55.11,72.18
725.0,927.0,779.0,410.0,1008.0,748.0,580.0,404.0,991.0,561.0,904.0,57.4,63.92,80.08
701.0,900.0,775.0,452.0,995.0,867.0,545.0,411.0,1135.0,643.0,890.0,62.9,73.57,93.42
830.0,931.0,803.0,456.0,1052.0,817.0,541.0,433.0,1064.0,610.0,923.0,65.9,65.55,88.46
803.0,995.0,785.0,393.0,1079.0,800.0,612.0,441.0,1040.0,603.0,934.0,67.6,63.57,72.13
929.0,1081.0,969.0,498.0,1155.0,791.0,681.0,499.0,1067.0,569.0,980.0,92.2,74.46,94.34
756.0,878.0,746.0,393.0,1017.0,801.0,572.0,383.0,1037.0,583.0,814.0,59.8,59.28,78.78
774.0,930.0,783.0,422.0,1007.0,726.0,577.0,395.0,953.0,546.0,874.0,61.8,49.33,71.06
735.0,911.0,807.0,428.0,1015.0,885.0,607.0,419.0,1137.0,618.0,883.0,70.5,74.77,85.78
780.0,915.0,762.0,455.0,1053.0,787.0,617.0,404.0,1056.0,548.0,890.0,68.3,77.98,79.92
839.0,1033.0,832.0,466.0,1017.0,703.0,614.0,420.0,896.0,586.0,909.0,65.6,66.0,77.0
955.0,999.0,820.0,445.0,1075.0,737.0,608.0,437.0,975.0,595.0,924.0,69.7,70.0,82.0
903.0,947.0,753.0,434.0,1100.0,752.0,668.0,429.0,981.0,545.0,883.0,70.2,72.72,76.52
750.0,921.0,804.0,370.0,1010.0,792.0,563.0,389.0,1032.0,580.0,862.0,60.0,69.45,83.54
1085.0,1220.0,1013.0,520.0,1085.0,738.0,665.0,433.0,958.0,568.0,1115.0,93.2,65.53,82.2
936.0,1135.0,914.0,471.0,1163.0,791.0,638.0,496.0,1092.0,600.0,1091.0,90.5,74.37,87.08
959.0,1064.0,855.0,429.0,1068.0,773.0,624.0,447.0,1027.0,562.0,975.0,77.4,67.9,82.73
919.0,1082.0,867.0,425.0,1192.0,703.0,647.0,415.0,977.0,527.0,1008.0,82.0,58.6,75.29
755.0,898.0,785.0,438.0,985.0,808.0,579.0,432.0,1014.0,568.0,891.0,61.3,69.68,80.97
958.0,1112.0,949.0,465.0,1085.0,733.0,536.0,469.0,1025.0,565.0,1028.0,79.8,59.64,67.51
651.0,840.0,727.0,396.0,959.0,723.0,530.0,391.0,981.0,565.0,826.0,50.0,63.34,77.98
982.0,1139.0,981.0,434.0,1220.0,791.0,762.0,490.0,1011.0,596.0,1040.0,104.8,75.33,83.79
690.0,926.0,735.0,408.0,947.0,793.0,534.0,400.0,1062.0,593.0,848.0,55.9,69.0,82.0
772.0,905.0,732.0,428.0,985.0,793.0,545.0,404.0,996.0,574.0,848.0,59.2,62.0,76.0
848.0,950.0,801.0,410.0,1012.0,817.0,584.0,437.0,1040.0,603.0,908.0,66.0,53.05,79.33
784.0,875.0,762.0,392.0,1061.0,723.0,630.0,394.0,951.0,510.0,821.0,60.9,77.53,93.39
680.0,805.0,670.0,405.0,944.0,718.0,532.0,400.0,935.0,528.0,811.0,49.0,60.0,75.0
633.0,806.0,693.0,395.0,937.0,745.0,554.0,403.0,964.0,559.0,810.0,50.5,68.0,73.0
980.0,1148.0,951.0,466.0,1050.0,766.0,537.0,431.0,982.0,567.0,1038.0,79.0,66.28,78.81
811.0,931.0,792.0,443.0,1159.0,856.0,680.0,447.0,1088.0,635.0,885.0,74.5,69.88,81.89
700.0,843.0,702.0,392.0,980.0,693.0,544.0,380.0,915.0,508.0,796.0,50.9,60.0,66.0
701.0,895.0,721.0,429.0,949.0,736.0,548.0,411.0,931.0,547.0,852.0,52.8,58.99,66.42
944.0,1082.0,896.0,471.0,1088.0,806.0,627.0,468.0,1064.0,592.0,1031.0,81.3,63.06,83.52
865.0,959.0,791.0,438.0,1129.0,828.0,646.0,435.0,1074.0,582.0,942.0,76.6,69.79,89.57
751.0,950.0,796.0,432.0,981.0,687.0,558.0,428.0,955.0,567.0,920.0,61.2,66.0,84.0
850.0,910.0,743.0,422.0,1035.0,779.0,593.0,409.0,979.0,589.0,862.0,61.6,58.0,71.0
796.0,904.0,787.0,409.0,1055.0,752.0,617.0,384.0,958.0,546.0,857.0,62.9,57.21,77.43
1072.0,1190.0,1042.0,432.0,1273.0,624.0,696.0,487.0,916.0,538.0,1063.0,90.5,71.19,78.37
825.0,986.0,832.0,466.0,1091.0,767.0,644.0,413.0,1040.0,611.0,924.0,76.0,80.0,84.0
1267.0,1418.0,1162.0,532.0,1361.0,754.0,638.0,548.0,984.0,614.0,1258.0,119.7,65.0,80.1
759.0,935.0,779.0,407.0,969.0,786.0,545.0,407.0,1007.0,560.0,855.0,57.0,60.09,63.66
708.0,898.0,773.0,415.0,1026.0,784.0,608.0,416.0,1034.0,580.0,849.0,67.6,73.35,84.07
795.0,1102.0,810.0,472.0,1154.0,679.0,645.0,450.0,956.0,556.0,1046.0,75.6,64.0,74.0
920.0,1056.0,886.0,456.0,1065.0,746.0,660.0,418.0,1000.0,540.0,921.0,73.5,69.51,67.51
875.0,1001.0,803.0,440.0,1024.0,851.0,564.0,430.0,1089.0,610.0,967.0,68.8,69.46,87.28
986.0,1098.0,917.0,461.0,1102.0,754.0,637.0,404.0,993.0,556.0,1014.0,78.8,64.64,77.82
859.0,1071.0,858.0,432.0,1031.0,740.0,568.0,433.0,965.0,560.0,990.0,67.0,64.84,81.13
738.0,874.0,758.0,420.0,1044.0,798.0,602.0,410.0,1020.0,562.0,861.0,62.0,67.69,78.37
744.0,908.0,784.0,422.0,971.0,783.0,548.0,414.0,1039.0,569.0,858.0,61.2,78.23,84.31
1093.0,1249.0,1064.0,477.0,1111.0,699.0,573.0,460.0,899.0,562.0,1154.0,88.0,55.68,81.11
847.0,980.0,805.0,464.0,1044.0,800.0,600.0,441.0,1055.0,580.0,938.0,72.1,62.49,91.79
737.0,932.0,768.0,435.0,951.0,739.0,549.0,410.0,976.0,552.0,917.0,58.2,68.0,72.0
1226.0,1331.0,1072.0,468.0,1063.0,801.0,645.0,502.0,1068.0,611.0,1171.0,101.6,87.8,88.13
894.0,1083.0,902.0,474.0,1245.0,880.0,715.0,451.0,1148.0,631.0,1078.0,94.0,73.3,85.01
1124.0,1205.0,967.0,515.0,1254.0,768.0,721.0,478.0,1070.0,628.0,1036.0,97.8,72.0,77.0
830.0,962.0,847.0,424.0,943.0,781.0,518.0,395.0,975.0,565.0,920.0,58.7,80.98,96.85
742.0,897.0,752.0,458.0,964.0,898.0,562.0,417.0,1158.0,651.0,865.0,61.0,81.0,90.61
790.0,950.0,805.0,488.0,1045.0,866.0,615.0,425.0,1144.0,667.0,910.0,69.9,76.0,80.0
878.0,885.0,743.0,420.0,1020.0,805.0,610.0,422.0,931.0,608.0,856.0,63.0,62.0,81.0
726.0,813.0,670.0,375.0,930.0,714.0,515.0,367.0,894.0,557.0,767.0,47.2,62.0,73.0
805.0,880.0,739.0,438.0,970.0,717.0,565.0,382.0,887.0,544.0,833.0,57.7,62.0,73.0
745.0,841.0,734.0,413.0,960.0,810.0,549.0,405.0,1037.0,605.0,830.0,56.9,70.0,77.0
874.0,951.0,840.0,417.0,1170.0,723.0,680.0,421.0,971.0,556.0,914.0,74.5,63.46,79.63
730.0,900.0,786.0,434.0,1030.0,848.0,568.0,413.0,1105.0,600.0,883.0,67.0,61.23,82.24
708.0,795.0,702.0,415.0,868.0,735.0,480.0,370.0,930.0,585.0,779.0,46.4,62.0,71.0
680.0,826.0,731.0,393.0,991.0,792.0,501.0,367.0,1020.0,565.0,811.0,55.0,58.0,78.3
721.0,944.0,790.0,385.0,943.0,725.0,533.0,414.0,940.0,550.0,887.0,52.4,63.0,73.0
940.0,1065.0,855.0,438.0,1075.0,679.0,612.0,440.0,946.0,552.0,964.0,69.5,62.0,76.0
1008.0,1149.0,956.0,415.0,1226.0,813.0,737.0,453.0,1046.0,618.0,1014.0,88.8,67.95,80.8
968.0,1085.0,986.0,457.0,1119.0,729.0,638.0,409.0,925.0,584.0,1016.0,78.0,59.4,73.14
660.0,862.0,730.0,410.0,965.0,702.0,555.0,405.0,934.0,544.0,830.0,50.6,56.0,62.0
667.0,819.0,669.0,392.0,921.0,737.0,542.0,380.0,948.0,534.0,776.0,48.0,63.0,70.0
971.0,1073.0,915.0,441.0,1153.0,758.0,680.0,432.0,999.0,611.0,983.0,82.4,62.0,64.0
690.0,880.0,725.0,424.0,923.0,762.0,485.0,393.0,986.0,581.0,849.0,50.7,58.0,66.0
683.0,880.0,732.0,413.0,925.0,730.0,510.0,397.0,909.0,529.0,829.0,46.4,53.0,67.0
695.0,944.0,797.0,409.0,1025.0,798.0,597.0,440.0,1062.0,580.0,897.0,63.5,63.46,75.24
667.0,840.0,713.0,423.0,910.0,697.0,522.0,362.0,894.0,558.0,802.0,49.9,62.0,68.0
591.0,828.0,662.0,391.0,876.0,800.0,472.0,356.0,1013.0,576.0,764.0,43.5,60.0,68.0
788.0,977.0,856.0,435.0,1087.0,792.0,623.0,428.0,1037.0,620.0,939.0,71.3,60.95,74.85
718.0,800.0,666.0,435.0,985.0,737.0,565.0,400.0,975.0,606.0,782.0,54.7,64.0,75.0
665.0,852.0,720.0,402.0,934.0,708.0,554.0,394.0,961.0,572.0,813.0,51.5,62.0,67.0
608.0,828.0,682.0,432.0,884.0,677.0,515.0,372.0,895.0,534.0,762.0,46.4,50.0,60.0
681.0,849.0,725.0,427.0,930.0,761.0,545.0,382.0,975.0,565.0,811.0,53.2,68.0,73.0
812.0,935.0,786.0,416.0,1074.0,702.0,677.0,443.0,923.0,575.0,911.0,66.8,66.0,70.0
1117.0,1318.0,1046.0,521.0,1220.0,814.0,647.0,500.0,1056.0,655.0,1209.0,108.0,66.79,79.97
717.0,846.0,689.0,450.0,905.0,765.0,476.0,384.0,944.0,580.0,821.0,48.7,60.0,74.0
694.0,900.0,712.0,427.0,999.0,757.0,538.0,390.0,1014.0,613.0,856.0,57.9,64.0,69.0
993.0,1051.0,855.0,435.0,1098.0,774.0,656.0,470.0,1011.0,594.0,1016.0,82.9,67.29,81.94
881.0,1123.0,895.0,495.0,1126.0,889.0,649.0,464.0,1148.0,670.0,1032.0,87.8,72.15,95.46
800.0,979.0,813.0,438.0,989.0,672.0,554.0,416.0,942.0,542.0,881.0,62.0,63.0,74.0
722.0,898.0,770.0,413.0,1003.0,818.0,593.0,407.0,1032.0,581.0,893.0,64.1,71.48,83.01
800.0,925.0,789.0,438.0,1063.0,719.0,581.0,431.0,970.0,560.0,889.0,64.3,66.0,78.0
760.0,894.0,707.0,431.0,982.0,746.0,539.0,379.0,920.0,562.0,819.0,56.6,58.0,75.0
695.0,826.0,690.0,396.0,1017.0,814.0,576.0,389.0,1045.0,596.0,796.0,52.6,67.69,71.13
1005.0,1078.0,910.0,473.0,1135.0,816.0,676.0,435.0,1054.0,598.0,983.0,83.1,69.86,78.37
822.0,926.0,769.0,443.0,904.0,753.0,487.0,403.0,990.0,589.0,880.0,54.3,57.23,78.22
800.0,1010.0,800.0,450.0,1030.0,700.0,610.0,453.0,939.0,537.0,950.0,65.7,63.0,69.0
805.0,889.0,758.0,450.0,972.0,766.0,555.0,408.0,941.0,573.0,862.0,58.6,64.0,70.0
693.0,881.0,722.0,430.0,935.0,877.0,547.0,416.0,1108.0,665.0,846.0,56.5,72.09,81.41
641.0,903.0,769.0,389.0,909.0,748.0,487.0,415.0,981.0,597.0,881.0,49.3,66.33,72.55
708.0,887.0,780.0,470.0,995.0,757.0,567.0,410.0,1015.0,601.0,859.0,60.5,56.0,66.0
763.0,966.0,777.0,374.0,1090.0,753.0,628.0,412.0,989.0,553.0,891.0,70.6,54.85,70.92
743.0,929.0,800.0,405.0,930.0,688.0,561.0,392.0,924.0,554.0,867.0,52.9,60.0,75.0
758.0,924.0,754.0,431.0,920.0,679.0,522.0,405.0,878.0,494.0,858.0,53.4,59.55,73.5
1040.0,1042.0,902.0,442.0,1144.0,774.0,696.0,459.0,976.0,600.0,979.0,87.4,60.53,80.8
766.0,922.0,775.0,440.0,956.0,755.0,550.0,393.0,1008.0,575.0,894.0,60.8,67.05,72.84
705.0,905.0,732.0,417.0,975.0,726.0,562.0,411.0,927.0,563.0,860.0,55.5,58.0,67.0
756.0,884.0,735.0,422.0,1011.0,758.0,567.0,400.0,949.0,583.0,820.0,62.2,60.0,78.0
736.0,923.0,715.0,408.0,954.0,767.0,550.0,406.0,966.0,587.0,822.0,54.9,62.0,77.0
742.0,960.0,749.0,431.0,993.0,702.0,572.0,390.0,964.0,534.0,848.0,58.8,69.0,77.0
705.0,872.0,748.0,422.0,1035.0,770.0,596.0,390.0,977.0,595.0,856.0,61.6,64.0,75.0
1080.0,1202.0,996.0,490.0,1249.0,868.0,780.0,527.0,1183.0,641.0,1115.0,119.3,83.03,86.26
771.0,909.0,783.0,418.0,954.0,869.0,550.0,402.0,1067.0,616.0,864.0,59.7,69.27,81.05
778.0,956.0,770.0,414.0,916.0,710.0,533.0,412.0,948.0,579.0,911.0,56.1,71.0,78.0
792.0,1016.0,783.0,450.0,1037.0,685.0,610.0,409.0,964.0,545.0,913.0,68.5,64.0,76.0
932.0,1029.0,807.0,445.0,1069.0,827.0,609.0,435.0,1076.0,581.0,971.0,77.2,73.9,73.57
817.0,900.0,719.0,439.0,1026.0,770.0,599.0,396.0,985.0,583.0,855.0,63.4,64.0,64.0
791.0,894.0,782.0,418.0,1045.0,820.0,591.0,422.0,1058.0,595.0,902.0,63.6,62.1,86.79
803.0,965.0,801.0,433.0,997.0,747.0,569.0,408.0,964.0,571.0,897.0,62.6,62.0,71.0
725.0,912.0,766.0,414.0,966.0,873.0,544.0,401.0,1124.0,607.0,890.0,60.9,64.44,77.11
705.0,839.0,710.0,414.0,964.0,727.0,574.0,387.0,923.0,571.0,818.0,56.4,62.0,73.0
771.0,881.0,729.0,431.0,974.0,706.0,571.0,402.0,908.0,571.0,842.0,55.7,66.0,70.0
983.0,1062.0,883.0,469.0,1063.0,827.0,617.0,482.0,1079.0,626.0,1020.0,87.5,67.19,87.55
725.0,910.0,774.0,437.0,980.0,733.0,544.0,413.0,937.0,558.0,855.0,58.8,67.0,74.0
865.0,969.0,785.0,405.0,1035.0,739.0,625.0,433.0,983.0,616.0,930.0,63.9,66.0,74.0
886.0,1077.0,878.0,432.0,1105.0,781.0,660.0,444.0,1046.0,560.0,1005.0,79.2,65.95,74.41
669.0,825.0,715.0,426.0,938.0,766.0,507.0,392.0,977.0,586.0,777.0,51.7,60.0,66.0
897.0,995.0,884.0,445.0,1125.0,725.0,675.0,418.0,1025.0,600.0,944.0,76.6,74.0,77.0
